iter	Passed	Remaining
0	14	2817
1	30	2985
2	46	3068
3	60	2978
4	76	2972
5	89	2886
6	102	2821
7	115	2765
8	128	2736
9	142	2705
10	155	2675
11	167	2631
12	180	2600
13	193	2573
14	207	2557
15	221	2548
16	234	2522
17	247	2505
18	260	2480
19	273	2459
20	286	2444
21	298	2417
22	311	2398
23	323	2374
24	336	2355
25	348	2334
26	360	2307
27	372	2290
28	385	2270
29	397	2251
30	408	2228
31	420	2207
32	432	2189
33	444	2170
34	456	2151
35	469	2137
36	481	2123
37	494	2106
38	506	2089
39	517	2071
40	530	2058
41	541	2038
42	553	2021
43	565	2005
44	577	1989
45	589	1974
46	602	1960
47	613	1944
48	626	1930
49	638	1915
50	655	1916
51	668	1903
52	685	1901
53	699	1891
54	713	1881
55	725	1866
56	738	1852
57	750	1837
58	762	1821
59	774	1806
60	787	1794
61	800	1781
62	812	1766
63	825	1753
64	839	1744
65	852	1730
66	865	1717
67	878	1705
68	893	1695
69	906	1684
70	919	1670
71	934	1661
72	949	1651
73	962	1638
74	974	1624
75	988	1613
76	1001	1600
77	1014	1586
78	1026	1572
79	1039	1558
80	1051	1544
81	1063	1531
82	1077	1518
83	1090	1505
84	1103	1492
85	1114	1477
86	1127	1464
87	1139	1450
88	1152	1436
89	1163	1422
90	1175	1407
91	1187	1394
92	1199	1379
93	1210	1364
94	1220	1349
95	1232	1335
96	1244	1321
97	1256	1307
98	1268	1294
99	1281	1281
100	1292	1267
101	1304	1253
102	1316	1239
103	1328	1226
104	1341	1213
105	1354	1200
106	1365	1187
107	1377	1173
108	1390	1160
109	1401	1146
110	1413	1133
111	1424	1119
112	1436	1105
113	1448	1092
114	1460	1079
115	1471	1065
116	1483	1052
117	1496	1039
118	1507	1026
119	1520	1013
120	1532	1000
121	1544	987
122	1555	974
123	1568	961
124	1579	947
125	1591	934
126	1603	921
127	1615	908
128	1628	896
129	1639	883
130	1651	869
131	1663	856
132	1674	843
133	1686	830
134	1698	817
135	1709	804
136	1722	791
137	1733	778
138	1746	766
139	1758	753
140	1771	741
141	1783	728
142	1795	715
143	1807	703
144	1818	689
145	1831	677
146	1844	664
147	1856	652
148	1868	639
149	1881	627
150	1894	614
151	1906	602
152	1919	589
153	1931	577
154	1943	564
155	1955	551
156	1967	538
157	1979	526
158	1990	513
159	2002	500
160	2013	487
161	2026	475
162	2038	462
163	2050	450
164	2062	437
165	2075	425
166	2087	412
167	2099	399
168	2111	387
169	2122	374
170	2134	361
171	2145	349
172	2156	336
173	2168	324
174	2180	311
175	2191	298
176	2203	286
177	2215	273
178	2226	261
179	2239	248
180	2251	236
181	2262	223
182	2274	211
183	2286	198
184	2298	186
185	2310	173
186	2321	161
187	2333	148
188	2345	136
189	2357	124
190	2370	111
191	2382	99
192	2393	86
193	2405	74
194	2416	61
195	2427	49
196	2439	37
197	2451	24
198	2463	12
199	2475	0
